Name,Minutes Played,FG%,3PT %,FT %,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Jamal Murray,32.6,43.70%,36.70%,84.80%,4.2,4.8,0.9,0.4,2.1,2,18.2
Nikola Jokic,31.3,51.10%,30.70%,82.10%,10.8,7.3,1.4,0.7,3.1,2.9,20.1
Gary Harris,28.8,42.40%,33.90%,79.90%,2.8,2.2,1,0.3,1.2,2,12.9
Will Barton,27.7,40.20%,34.20%,77.00%,4.6,2.9,0.4,0.5,1.5,1.9,11.5
Paul Millsap,27.1,48.40%,36.50%,72.70%,7.2,2,1.2,0.8,1.4,2.6,12.6
Monte Morris,24,49.30%,41.40%,80.20%,2.4,3.6,0.9,0,0.6,1.2,10.4
Malik Beasley,23.2,47.40%,40.20%,84.80%,2.5,1.2,0.7,0.1,0.7,1.4,11.3
Mason Plumlee,21.1,59.30%,20.00%,56.10%,6.4,3,0.8,0.9,1.5,3.1,7.8
Torrey Craig,20,44.20%,32.40%,70.00%,3.5,1,0.5,0.6,0.6,2.3,5.7
Juan Hernangomez,19.4,43.90%,36.50%,76.70%,3.8,0.8,0.4,0.3,0.5,1.3,5.8
Trey Lyles,17.5,41.80%,25.50%,69.80%,3.8,1.4,0.5,0.4,1.1,1.5,8.5
Isaiah Thomas,15.1,34.30%,27.90%,63.00%,1.1,1.9,0.4,0.1,1.5,1.4,8.1
Nick Young,9.3,33.30%,37.50%,0%,0.3,0.5,0,0.3,0.5,1,2.3
Jarred Vanderbilt,4.1,47.40%,0.00%,60.00%,1.4,0.2,0.4,0.1,0.5,0.5,1.4
Tyler Lydon,3.8,50.00%,40.00%,33.30%,0.7,0.2,0.1,0,0.2,0.4,0.9
Brandon Goodwin,3.6,26.10%,33.30%,81.80%,0.2,0.9,0,0,0.2,0.4,1.4
Thomas Welsh,3.3,53.80%,42.90%,50.00%,0.4,0.5,0,0,0.1,0.3,1.6
DeVaughn Akoon-Purcell,3.1,30.00%,0.00%,50.00%,0.6,0.9,0.3,0,0.3,0.6,1
